age,gender,event_date,event_state
41,male,04/11/2016,NY
,,07/11/2016,IL
60,male,08/11/2016,FL
53,male,,MA
,,08/11/2016,MA
,,08/11/2016,SD
32,male,08/11/2016,IL
60,male,08/11/2016,FL
53,male,08/11/2016,NY
,,09/11/2016,VA
,,09/11/2016,NC
24,male,04/11/2016,MI
31,male,10/11/2016,IN
69,male,,MA
35,male,,MA
,,11/11/2016,CA
,,11/11/2016,FL
,,07/11/2016,CA
40,male,11/11/2016,MI
,,12/11/2016,IL
,,12/11/2016,ND
,,10/11/2016,KY
,,03/10/2016,NE
,,13/11/2016,NV
,,15/11/2016,OK
34,male,15/11/2016,CA
52,male,15/11/2016,OK
,,16/11/2016,NC
,,16/11/2016,TN
,,16/11/2016,TX
38,male,16/11/2016,IL
,,16/11/2016,TN
,male,,TX
53,male,17/11/2016,WI
,male,18/11/2016,TN
,,18/11/2016,SC
,,18/11/2016,NJ
38,male,18/11/2016,TX
28,male,19/11/2016,MA
,male,20/11/2016,NY
,,21/11/2016,CT
58,male,21/11/2016,FL
37,male,,MA
70,male,,MA
,,22/11/2016,TX
,,22/11/2016,NC
33,male,22/11/2016,IN
47,male,22/11/2016,NY
,,31/10/2016,AL
43,male,22/11/2016,NY
47,male,22/11/2016,NY
33,male,22/11/2016,KY
,,23/11/2016,NJ
38,male,23/11/2016,CA
,,24/11/2016,TX
39,male,25/11/2016,NV
,,27/11/2016,OH
,,28/11/2016,NH
,,28/11/2016,AL
,,29/11/2016,IN
,,29/11/2016,CA
40,male,29/11/2016,NC
27,male,30/11/2016,CA
,male,,MA
,,01/12/2016,FL
,,01/12/2016,PA
,,01/12/2016,TX
45,male,02/12/2016,OR
24,male,02/12/2016,SD
29,male,04/12/2016,CT
,,05/12/2016,NV
,,05/12/2016,CA
,,05/12/2016,TX
60,male,05/12/2016,TX
,male,06/12/2016,MO
63,male,06/12/2016,SC
55,male,09/12/2016,MA
,,09/12/2016,MA
,,09/12/2016,PA
59,male,09/12/2016,NY
46,male,09/12/2016,TX
30,male,09/12/2016,CA
,,10/12/2016,NE
27,male,10/12/2016,MS
58,male,10/12/2016,NY
,,11/12/2016,HI
,,12/12/2016,MO
40,male,12/12/2016,FL
60,male,12/12/2016,GA
55,male,12/12/2016,IL
,,13/12/2016,KY
62,male,13/12/2016,ID
48,male,13/12/2016,KS
,male,13/12/2016,IN
50,male,13/12/2016,NM
,,14/12/2016,CA
