age,gender,event_date,event_state
50,male,2018/10/22,NJ
54,male,2018/10/16,NY
29,male,2018/10/23,TX
43,male,2018/10/23,KY
52,male,2018/10/24,MT
38,male,2018/10/25,KY
43,male,2018/10/19,TN
60,male,2018/10/24,FL
22,male,2018/10/24,FL
52,male,2018/10/24,FL
48,male,2018/10/25,IL
61,male,2018/10/25,VA
61,male,2018/10/25,WI
55,male,2018/10/24,MA
42,male,2018/10/25,NV
63,male,2018/10/26,MO
44,male,2018/10/27,IL
,,2018/09/19,GA
,male,2018/09/12,CA
26,female,2018/09/20,MD
,,2018/06/30,NY
,,2018/06/30,FL
,,2018/06/29,TX
,,2018/06/29,TX
,,2018/06/29,OH
,,2018/06/28,GA
,male,2018/06/28,FL
46,,2018/06/27,FL
,male,2018/06/27,CA
30,male,2018/06/26,TX
36,male,2018/06/26,TX
44,,2018/06/26,TX
,,2018/06/26,IN
,male,2018/06/26,IL
43,,2018/06/26,ID
,,2018/06/25,CA
,,2018/06/23,TX
,,2018/06/22,KY
,male,2018/06/22,AL
,,2018/06/21,DC
,male,2018/06/21,CO
,,2018/06/20,NJ
,,2018/06/20,ID
,,2018/06/20,CA
,,2018/06/19,TX
,male,2018/06/18,MT
41,male,2018/06/18,FL
50,,2018/06/18,CA
,,2018/06/15,TN
,,2018/06/14,NC
,male,2018/06/14,NC
57,,2018/06/14,MI
,,2018/06/14,CO
,,2018/06/13,MD
,female,2018/06/13,IA
34,male,2018/06/13,CA
49,male,2018/06/12,IN
57,male,2018/06/12,GA
,,2018/06/12,CA
,,2018/06/11,WI
,,2018/06/11,IL
,,2018/06/11,IL
,,2018/06/11,GA
,,2018/06/09,NY
,,2018/06/09,NY
,,2018/06/09,GA
,,2018/06/09,AR
,male,2018/06/08,RI
31,,2018/06/08,MD
,,2018/06/08,IN
,,2018/06/08,AL
,,2018/06/06,NC
,male,2018/06/06,MS
48,male,2018/06/06,GA
32,,2018/06/06,FL
,,2018/06/06,CA
,male,2018/06/05,NY
20,,2018/06/05,MD
,,2018/06/05,CA
,male,2018/06/04,TX
59,male,2018/06/04,PA
58,male,2018/06/04,MO
